dataset,model1,model2,sampling_strategy,mapping,lambda,latent_dim,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,MSE_variance,MSE_variance_model1,MSE_variance_model2,class
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_1.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_32_2.pth,equally,Affine,0.0,32,10,28.874072,0.0834881586,0.0797489309,1651.56704,0.00204923724,0.00176378939,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_1.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_64_1.pth,worst_classes,Linear,0.0,64,10,4.65794181,0.0834104127,0.0796288721,37.9907646,0.0020393355429999998,0.0017536056600000003,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_1.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_64_3.pth,convex_hull,Affine,0.0,64,10,28.5921986,0.0834103712,0.0801316827,1649.70649,0.00204669661,0.0017506697840000002,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_1.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_3.pth,convex_hull,Affine,0.0,8,10,13.2719976,0.0834832263,0.0834708581,291.40680299999997,0.0020473502599999997,0.0020503054399999996,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_2.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_16_1.pth,worst_classes,Linear,0.0,16,10,4.3547192699999995,0.0832747205,0.07996789039999999,30.527883099999997,0.00203345351,0.00170410079,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_2.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_32_3.pth,convex_hull,Affine,0.0,32,10,17.71162885,0.0832973844,0.0809605525,565.966632,0.00203544781,0.00174444226,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_2.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_32_3.pth,outliers,Affine,0.0,32,10,37.9047367,0.0832461314,0.0810075825,3082.8855350000003,0.00203670734,0.0017430990930000002,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_3.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_32_2.pth,outliers,Affine,0.0,32,10,3.6231780000000002,0.0834485366,0.07971695009999999,20.9996735,0.00204700517,0.001763845875,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_3.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_1.pth,outliers,Affine,0.0,8,10,7.439845579999999,0.08340290889999999,0.0834156411,94.4867519,0.0020464351860000002,0.00203552303,4.5
FMNIST,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_3.pth,models/checkpoints/VAE/FMNIST/FMNIST_VAE_8_2.pth,worst_classes,Affine,0.0,8,10,8.47010411,0.0835132505,0.08327263630000001,135.4445805,0.0020704502900000003,0.00203577258,4.5
