Model,Class,MSE,SSIM,PSNR
MNIST_AE_4_10.pth,0,0.9144782974403731,-0.18752760430348026,0.4026789435444088
MNIST_AE_4_10.pth,1,1.0318172782003092,-0.13116320217546354,-0.1305477479995077
MNIST_AE_4_10.pth,2,0.9314414360957552,-0.1473368233876471,0.32027531238779117
MNIST_AE_4_10.pth,3,0.9697838335934252,-0.15331867400399338,0.14565347985001442
MNIST_AE_4_10.pth,4,0.9531083365564677,-0.13931107666863252,0.21597299161802808
MNIST_AE_4_10.pth,5,0.9780097575732946,-0.16664990997967896,0.10570711697314539
MNIST_AE_4_10.pth,6,0.9327844363911416,-0.13968232664501656,0.31126998352363006
MNIST_AE_4_10.pth,7,0.9812673159262549,-0.15646005985529698,0.08985020898791048
MNIST_AE_4_10.pth,8,0.9326326107219993,-0.1352432714181138,0.31416575311868566
MNIST_AE_4_10.pth,9,0.9609664955625922,-0.14527156410970768,0.17968588856934967
MNIST_AE_2_5.pth,0,0.9243275171031757,-0.18345239966179447,0.355408912658926
MNIST_AE_2_5.pth,1,1.0623438199711266,-0.13321820410956633,-0.2556661299281389
MNIST_AE_2_5.pth,2,0.9405656733600668,-0.14562227398818767,0.2790110195035961
MNIST_AE_2_5.pth,3,0.9761708183453814,-0.15161056815982182,0.11746611829221106
MNIST_AE_2_5.pth,4,0.9691999254182982,-0.14604281512071307,0.1446446856963667
MNIST_AE_2_5.pth,5,0.993554495843002,-0.16622792395029962,0.038169129546057716
MNIST_AE_2_5.pth,6,0.9512637950682192,-0.14147626012820655,0.22753008443829034
MNIST_AE_2_5.pth,7,0.9997633570942898,-0.16024104922292212,0.009501563340357722
MNIST_AE_2_5.pth,8,0.9476505756622957,-0.13749728149840898,0.24526289422674474
MNIST_AE_2_5.pth,9,0.9777770493146332,-0.15374676704185075,0.10527898768626698
mnist_ae_paper.pth,0,0.8290432852141711,-0.2796870874428504,0.8227458455877563
mnist_ae_paper.pth,1,0.9497984841006443,-0.19546093355303487,0.22761010352255479
mnist_ae_paper.pth,2,0.8615095270003459,-0.2357987290149962,0.6549007629958519
mnist_ae_paper.pth,3,0.8667685088544789,-0.2534083614915798,0.6286073333495966
mnist_ae_paper.pth,4,0.8945935319373175,-0.23246300494897765,0.48929450035985605
mnist_ae_paper.pth,5,0.8808426945198812,-0.28539650829694146,0.558925362542534
mnist_ae_paper.pth,6,0.8661597396610674,-0.2232172146934667,0.6317067779184037
mnist_ae_paper.pth,7,0.9001675820420224,-0.245454776617506,0.4619285370510093
mnist_ae_paper.pth,8,0.8559483113474915,-0.21593546999318905,0.6836711435981199
mnist_ae_paper.pth,9,0.8884650846302686,-0.23843778438511687,0.5190265188210059
MNIST_AE_4_1.pth,0,1.003775567789467,-0.15153987648363265,-0.0008794964850433408
MNIST_AE_4_1.pth,1,1.1677382408259724,-0.10547129980674139,-0.6672909279634707
MNIST_AE_4_1.pth,2,1.0206089603115422,-0.12623386185816843,-0.07413747460875995
MNIST_AE_4_1.pth,3,1.0637860418546319,-0.12400621790697658,-0.2553954272345419
MNIST_AE_4_1.pth,4,1.0603004822663038,-0.12805316308449444,-0.24467192274863328
MNIST_AE_4_1.pth,5,1.0827090316556494,-0.12951564042509156,-0.3349584523763931
MNIST_AE_4_1.pth,6,1.0162118597418879,-0.1319611066699892,-0.05623238810687769
MNIST_AE_4_1.pth,7,1.1132744260219285,-0.12998444085328206,-0.4582225691733061
MNIST_AE_4_1.pth,8,1.022352654953512,-0.12483299241257666,-0.08323360828939949
MNIST_AE_4_1.pth,9,1.072395033595347,-0.12932958694561883,-0.2955617477807301
MNIST_AE_1_5.pth,0,0.9212026607017127,-0.1760079288597203,0.3704827492041836
MNIST_AE_1_5.pth,1,1.0644609740127027,-0.13283547441261864,-0.26518417424567187
MNIST_AE_1_5.pth,2,0.9449912212038225,-0.13940603070975108,0.2585468663574949
MNIST_AE_1_5.pth,3,0.9824307776913784,-0.14444866886050675,0.08961606235689225
MNIST_AE_1_5.pth,4,0.9825433431963329,-0.14079582228629156,0.08565361069157103
MNIST_AE_1_5.pth,5,0.99583186663587,-0.16234586946287002,0.02823471748389335
MNIST_AE_1_5.pth,6,0.9531296602370595,-0.13871865704737318,0.21927975913174977
MNIST_AE_1_5.pth,7,1.005699562075537,-0.15548061369451274,-0.01570363696500238
MNIST_AE_1_5.pth,8,0.9508727362390906,-0.1303190981499528,0.23057446837798692
MNIST_AE_1_5.pth,9,0.990704489061452,-0.14614283666356753,0.04861441353049123
MNIST_AE_3_10.pth,0,0.9228046686673651,-0.18494484859170637,0.3627665793192046
MNIST_AE_3_10.pth,1,1.055936874954711,-0.13671508325573753,-0.23050812396056172
MNIST_AE_3_10.pth,2,0.9326566688196604,-0.14469594326502705,0.3151535911022958
MNIST_AE_3_10.pth,3,0.9766974686396004,-0.14920462097578935,0.11348606104907107
MNIST_AE_3_10.pth,4,0.9702397121188597,-0.1388895539161049,0.13881453519226883
MNIST_AE_3_10.pth,5,0.9931856192013608,-0.16449628721645096,0.03880773110576142
MNIST_AE_3_10.pth,6,0.938879723153184,-0.13713079119403757,0.2833712835131436
MNIST_AE_3_10.pth,7,0.9993457192344888,-0.16079597299294315,0.011418943208228774
MNIST_AE_3_10.pth,8,0.9393071770912813,-0.135169387745561,0.2832962002137139
MNIST_AE_3_10.pth,9,0.9777886386078342,-0.14638471654302912,0.10471891533911393
MNIST_AE_3_5.pth,0,0.9269609632540722,-0.1839658884214984,0.34432971490611697
MNIST_AE_3_5.pth,1,1.0657838258974353,-0.13188471832741452,-0.2702652685429064
MNIST_AE_3_5.pth,2,0.9449246314953464,-0.1478893451095158,0.2588911684289604
MNIST_AE_3_5.pth,3,0.9813928598224526,-0.14754198034406338,0.0941460226162508
MNIST_AE_3_5.pth,4,0.9846981596922437,-0.1466844288058612,0.07576508698038499
MNIST_AE_3_5.pth,5,0.9967337038217639,-0.16729121797542196,0.0246692283347356
MNIST_AE_3_5.pth,6,0.9507124232972092,-0.14013927072551396,0.22964550881943202
MNIST_AE_3_5.pth,7,1.0049143088003076,-0.15990683585804819,-0.01291524052288818
MNIST_AE_3_5.pth,8,0.9458575308078123,-0.13462767652013385,0.2534201527009586
MNIST_AE_3_5.pth,9,0.9861199117982825,-0.15216911491975618,0.06848714078319196
