Dataset,Model,Latent Size,Seed,Loss
CIFAR10,PCKTAE,100,1,0.0016796637899325708
CIFAR10,PCKTAE,100,1,0.0016796637899325708
CIFAR10,PCKTAE,100,1,0.0016796637899325708
CIFAR10,PCKTAE,100,1,0.0014374158568465916
CIFAR10,PCKTAE,100,1,0.0014123816886926284
CIFAR10,PCKTAE,100,1,0.0014051234589584764
CIFAR10,PCKTAE,100,1,0.001402429681357063
CIFAR10,PCKTAE,100,1,0.0014000975912736961
CIFAR10,PCKTAE,100,1,0.0013976031232534735
CIFAR10,PCKTAE,100,1,0.0013949412508936756
CIFAR10,PCKTAE,100,1,0.001393554206101505
CIFAR10,PCKTAE,100,1,0.0013931807323509012
CIFAR10,PCKTAE,100,1,0.0013929054860378166
CIFAR10,PCKTAE,100,1,0.0013933959884492829
CIFAR10,PCKTAE,100,1,0.0013934169792334365
CIFAR10,PCKTAE,100,1,0.0013926074437587462
CIFAR10,PCKTAE,100,1,0.0013939680694185596
CIFAR10,PCKTAE,100,1,0.0013935221889106286
CIFAR10,PCKTAE,100,1,0.001393955336083346
CIFAR10,PCKTAE,100,1,0.0013941660079190418
CIFAR10,PCKTAE,100,1,0.0013939606241972359
CIFAR10,PCKTAE,100,1,0.001393658485647072
CIFAR10,PCKTAE,100,1,0.001239372607426647
CIFAR10,PCKTAE,500,1,0.0016576443165254868
CIFAR10,PCKTAE,500,1,0.0014610234799835346
CIFAR10,PCKTAE,500,1,0.0014203287672389614
CIFAR10,PCKTAE,500,1,0.0014109478565528417
CIFAR10,PCKTAE,500,1,0.0014054652463044504
CIFAR10,PCKTAE,500,1,0.0014002377457935792
CIFAR10,PCKTAE,500,1,0.001397650582594392
CIFAR10,PCKTAE,500,1,0.001397128208585636
CIFAR10,PCKTAE,500,1,0.0013966152106252168
CIFAR10,PCKTAE,500,1,0.0013954125033915424
CIFAR10,PCKTAE,500,1,0.001395941623831954
CIFAR10,PCKTAE,500,1,0.0013963528238880017
CIFAR10,PCKTAE,500,1,0.001396572034236739
CIFAR10,PCKTAE,500,1,0.001396570954343204
CIFAR10,PCKTAE,500,1,0.0013961144178138707
CIFAR10,PCKTAE,500,1,0.0013965482072061514
CIFAR10,PCKTAE,500,1,0.001396629348983202
CIFAR10,PCKTAE,500,1,0.0013963597421141347
CIFAR10,PCKTAE,500,1,0.0013967935794421359
CIFAR10,PCKTAE,500,1,0.0013968623469552725
CIFAR10,PCKTAE,500,1,0.0012339514774517924
CIFAR10,PCKTAE,1000,1,0.0016681879337238686
