Dataset,Model,Latent Size,Seed,Loss
FMNIST,PCKTAE,10,1,0.0073759156946482055
FMNIST,PCKTAE,10,1,0.007147982281678394
FMNIST,PCKTAE,10,1,0.0070175621936570355
FMNIST,PCKTAE,10,1,0.006995232055968504
FMNIST,PCKTAE,10,1,0.0069874001394854045
FMNIST,PCKTAE,10,1,0.006984536898439564
FMNIST,PCKTAE,10,1,0.006982658321518443
FMNIST,PCKTAE,10,1,0.006981447062044065
FMNIST,PCKTAE,10,1,0.006980408413975097
FMNIST,PCKTAE,10,1,0.006979245400584456
FMNIST,PCKTAE,10,1,0.00697874556134727
FMNIST,PCKTAE,10,1,0.006977624557753488
FMNIST,PCKTAE,10,1,0.00697773194778512
FMNIST,PCKTAE,10,1,0.00697757890408259
FMNIST,PCKTAE,10,1,0.006977259785111652
FMNIST,PCKTAE,10,1,0.006977078570390561
FMNIST,PCKTAE,10,1,0.006977074224549506
FMNIST,PCKTAE,10,1,0.006976893040607733
FMNIST,PCKTAE,10,1,0.006976809938436251
FMNIST,PCKTAE,10,1,0.0069765651008801294
FMNIST,PCKTAE,10,1,0.006847662326608655
FMNIST,PCKTAE,30,1,0.0073587059833681275
FMNIST,PCKTAE,30,1,0.007047887176656519
FMNIST,PCKTAE,30,1,0.006879946923872301
FMNIST,PCKTAE,30,1,0.006864683829676877
FMNIST,PCKTAE,30,1,0.006861255756382749
FMNIST,PCKTAE,30,1,0.00686034817756938
FMNIST,PCKTAE,30,1,0.006859123734618301
FMNIST,PCKTAE,30,1,0.006857842372766118
FMNIST,PCKTAE,30,1,0.00685731402493076
FMNIST,PCKTAE,30,1,0.006856365155166528
FMNIST,PCKTAE,30,1,0.00685584452400393
FMNIST,PCKTAE,30,1,0.006855071845974749
FMNIST,PCKTAE,30,1,0.006854443878396107
FMNIST,PCKTAE,30,1,0.006854553830061259
FMNIST,PCKTAE,30,1,0.0068541668625528625
FMNIST,PCKTAE,30,1,0.006853977600529568
FMNIST,PCKTAE,30,1,0.0068534237207539045
FMNIST,PCKTAE,30,1,0.0068535615118152935
FMNIST,PCKTAE,30,1,0.00685295006677286
FMNIST,PCKTAE,30,1,0.006852853314470508
FMNIST,PCKTAE,30,1,0.0066816581094849715
FMNIST,PCKTAE,50,1,0.00724353572167059
FMNIST,PCKTAE,50,1,0.006908528233713496
FMNIST,PCKTAE,50,1,0.00686182587870212
FMNIST,PCKTAE,50,1,0.006843333154408408
FMNIST,PCKTAE,50,1,0.006838520563868826
FMNIST,PCKTAE,50,1,0.006836597884157256
FMNIST,PCKTAE,50,1,0.00683407805689267
FMNIST,PCKTAE,50,1,0.0068315098276619975
FMNIST,PCKTAE,50,1,0.006830003402475864
FMNIST,PCKTAE,50,1,0.006829411771370849
FMNIST,PCKTAE,50,1,0.006828516768390881
FMNIST,PCKTAE,50,1,0.006828655938564269
FMNIST,PCKTAE,50,1,0.006828021450734723
FMNIST,PCKTAE,50,1,0.006827936628892986
FMNIST,PCKTAE,50,1,0.006827801019191615
FMNIST,PCKTAE,50,1,0.006827693679796925
