Model,Class,MSE,SSIM,PSNR
MNIST_PCKTAE_50_3.pth,0,0.8506158621335517,-0.0998421540716091,0.7038977653376761
MNIST_PCKTAE_50_3.pth,1,0.9449309223548956,-0.1526665754639414,0.2485790207299549
MNIST_PCKTAE_50_3.pth,2,0.8668672287071398,-0.08429962857573282,0.6223434523054625
MNIST_PCKTAE_50_3.pth,3,0.869349455479348,-0.10438738138859815,0.6102812839831442
MNIST_PCKTAE_50_3.pth,4,0.8860240415375976,-0.10455956665741786,0.5276416338848163
MNIST_PCKTAE_50_3.pth,5,0.878580017341092,-0.12794686548923415,0.5650688152711784
MNIST_PCKTAE_50_3.pth,6,0.8715365356094902,-0.09193764723525412,0.5992424845754689
MNIST_PCKTAE_50_3.pth,7,0.8932938426153205,-0.13185500163712022,0.49218817827723366
MNIST_PCKTAE_50_3.pth,8,0.8652298976141325,-0.06650443878665893,0.6301851641521072
MNIST_PCKTAE_50_3.pth,9,0.8819483372099454,-0.10765163252033638,0.5472905170636664
MNIST_PCKTAE_50_2.pth,0,0.8507601148619943,-0.09960478764265457,0.7031027418365754
MNIST_PCKTAE_50_2.pth,1,0.9427009973757068,-0.15234822154539973,0.25889890326335463
MNIST_PCKTAE_50_2.pth,2,0.8679652739056322,-0.08145986538089899,0.6168809263196852
MNIST_PCKTAE_50_2.pth,3,0.870161375609955,-0.09929856556128507,0.6061774578033741
MNIST_PCKTAE_50_2.pth,4,0.8867591689900323,-0.11039641618993949,0.5241939476636185
MNIST_PCKTAE_50_2.pth,5,0.8786884368535115,-0.12458331834824263,0.5642268637077078
MNIST_PCKTAE_50_2.pth,6,0.8718407320204756,-0.088802786375034,0.5977696788292107
MNIST_PCKTAE_50_2.pth,7,0.8941741620520209,-0.1341594583735936,0.4881447626666094
MNIST_PCKTAE_50_2.pth,8,0.8650935097029566,-0.07064201180168064,0.6309376223846529
MNIST_PCKTAE_50_2.pth,9,0.8830985004530908,-0.11583133589410527,0.5419322063252843
MNIST_PCKTAE_50_1.pth,0,0.8533643010319496,-0.09119006312780796,0.6897013722984127
MNIST_PCKTAE_50_1.pth,1,0.9432924446030335,-0.15100674822935325,0.25628672920708584
MNIST_PCKTAE_50_1.pth,2,0.868004714622516,-0.08057956311751831,0.6165114644307594
MNIST_PCKTAE_50_1.pth,3,0.8700382607998234,-0.09976735118552621,0.6068190170682658
MNIST_PCKTAE_50_1.pth,4,0.8869535535756051,-0.10955243246044158,0.5232376479641592
MNIST_PCKTAE_50_1.pth,5,0.8788195581179563,-0.1208727333129405,0.5636158017072957
MNIST_PCKTAE_50_1.pth,6,0.8729615592881882,-0.08297141710565736,0.5920156235479603
MNIST_PCKTAE_50_1.pth,7,0.8945763693245469,-0.13938983067635988,0.4862968309687588
MNIST_PCKTAE_50_1.pth,8,0.8653063893440568,-0.06656000079601372,0.6297698044990154
MNIST_PCKTAE_50_1.pth,9,0.8829470758277432,-0.11460391422704386,0.5425629141101264
MNIST_PCKTAE_30_1.pth,0,0.8517633659499032,-0.10793223029561114,0.698404791526257
MNIST_PCKTAE_30_1.pth,1,0.948914931261592,-0.1515898888125267,0.23093707279095396
MNIST_PCKTAE_30_1.pth,2,0.87195405000171,-0.07453804535481412,0.5971681351908393
MNIST_PCKTAE_30_1.pth,3,0.8727327383980893,-0.10303972443520651,0.5937486081355936
MNIST_PCKTAE_30_1.pth,4,0.891086899032418,-0.11049233706014762,0.5034075943433979
MNIST_PCKTAE_30_1.pth,5,0.8834430780512335,-0.12430872110801564,0.5413830506483015
MNIST_PCKTAE_30_1.pth,6,0.8752633552834983,-0.08697866476866105,0.5809101490459087
MNIST_PCKTAE_30_1.pth,7,0.8983703061996267,-0.13794817095313028,0.4681596518641776
MNIST_PCKTAE_30_1.pth,8,0.8685749337780891,-0.0676714658497317,0.613837398119396
MNIST_PCKTAE_30_1.pth,9,0.8863708856557122,-0.11420997859000057,0.525981567147868
MNIST_PCKTAE_30_2.pth,0,0.8516944308061989,-0.10483501843954936,0.6987534805873361
MNIST_PCKTAE_30_2.pth,1,0.9521430305447347,-0.15400337179812087,0.21628279730698835
MNIST_PCKTAE_30_2.pth,2,0.8722691679185675,-0.07841610266719731,0.5957744705535057
MNIST_PCKTAE_30_2.pth,3,0.8739027718506237,-0.10695214075132424,0.5881646727208661
MNIST_PCKTAE_30_2.pth,4,0.8911357120195377,-0.10068307944629587,0.5029408954477519
MNIST_PCKTAE_30_2.pth,5,0.8843503800208259,-0.12342737495740866,0.5370710950716833
MNIST_PCKTAE_30_2.pth,6,0.8774022873732142,-0.07957203391281661,0.5702545367912064
MNIST_PCKTAE_30_2.pth,7,0.899389551075516,-0.1454725081624802,0.4636591555925349
MNIST_PCKTAE_30_2.pth,8,0.8702158649476891,-0.06268591746183347,0.6054517223588132
MNIST_PCKTAE_30_2.pth,9,0.8861612668122479,-0.11034094202321343,0.5269824413934043
MNIST_PCKTAE_30_3.pth,0,0.8535261152958383,-0.09841794835469068,0.6893175027296201
MNIST_PCKTAE_30_3.pth,1,0.9468095584062752,-0.1458104872287776,0.24064159085903816
MNIST_PCKTAE_30_3.pth,2,0.8732509484817815,-0.07234737610782274,0.5905565168718776
MNIST_PCKTAE_30_3.pth,3,0.8741121323982087,-0.10147094218849341,0.5869317943577356
MNIST_PCKTAE_30_3.pth,4,0.8915314162700093,-0.0969305406759211,0.5008807393054973
