Model,Class,MSE,SSIM,PSNR
MNIST_SMLLAE_0.001_128_5_4.pth,0,0.8370236062881898,-0.16108222225009805,0.7777455966673681
MNIST_SMLLAE_0.001_128_5_4.pth,1,1.0394730860441266,-0.23292288566978736,-0.15976280131503232
MNIST_SMLLAE_0.001_128_5_4.pth,2,0.8845933294573496,-0.1833126535648956,0.5456541588647755
MNIST_SMLLAE_0.001_128_5_4.pth,3,0.9038812263767319,-0.22645869354820136,0.452938926790797
MNIST_SMLLAE_0.001_128_5_4.pth,4,0.9440882794725919,-0.22496753216610665,0.2624165698638426
MNIST_SMLLAE_0.001_128_5_4.pth,5,0.909494936265753,-0.2559528168754873,0.4246646917544194
MNIST_SMLLAE_0.001_128_5_4.pth,6,0.9008157592352347,-0.18419905495057654,0.47058560628997415
MNIST_SMLLAE_0.001_128_5_4.pth,7,0.9731015436032403,-0.2606041719548344,0.12763979330538078
MNIST_SMLLAE_0.001_128_5_4.pth,8,0.9087384587318256,-0.19378339173417108,0.42661380328043175
MNIST_SMLLAE_0.001_128_5_4.pth,9,0.9579155786540747,-0.24381027049406728,0.1959680171953866
MNIST_SMLLAE_0.001_64_1_4.pth,0,0.8529572327526248,-0.1079408043141438,0.6938012547993166
MNIST_SMLLAE_0.001_64_1_4.pth,1,1.134169303320578,-0.2139396500209211,-0.5248837205670132
MNIST_SMLLAE_0.001_64_1_4.pth,2,0.884816129771314,-0.10368968228210974,0.5415930792267963
MNIST_SMLLAE_0.001_64_1_4.pth,3,0.9106750373202975,-0.15773428678764093,0.4242520946546478
MNIST_SMLLAE_0.001_64_1_4.pth,4,1.0403018843860588,-0.20575676202781276,-0.14572104190372254
MNIST_SMLLAE_0.001_64_1_4.pth,5,0.9222559414369643,-0.18756953261940007,0.36844195689472914
MNIST_SMLLAE_0.001_64_1_4.pth,6,0.8886978433376065,-0.12788194465429772,0.5230820416199133
MNIST_SMLLAE_0.001_64_1_4.pth,7,1.0630260303558543,-0.2341920764144852,-0.2466819215000583
MNIST_SMLLAE_0.001_64_1_4.pth,8,0.9323951149745644,-0.1431589452014949,0.3253914061891217
MNIST_SMLLAE_0.001_64_1_4.pth,9,1.0590864984084167,-0.2252751013201876,-0.23089892641681986
MNIST_SMLLAE_0.001_128_10_4.pth,0,0.8182393061263221,-0.1938413927990398,0.8742802881084809
