dataset,model1,model2,mapping,lambda,num_samples,sampling_strategy,original_MSE_loss,MSE_loss,MSE_loss_transformed,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,100,convex_hull,0.1599676012992859,0.17168976366519928,0.031255919486284256,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,100,equally,0.16014620661735535,0.16724622249603271,0.030962428078055382,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,100,outliers,0.1601155698299408,0.1603012979030609,0.03255666047334671,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,100,worst_classes,0.16004005074501038,0.1661069393157959,0.031058693304657936,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,100,convex_hull,0.16006040573120117,0.17148007452487946,0.03101147525012493,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,100,equally,0.16002964973449707,0.16699081659317017,0.03086937963962555,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,100,outliers,0.16001462936401367,0.15937286615371704,0.03330083563923836,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,100,worst_classes,0.15997442603111267,0.16502204537391663,0.031166275963187218,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,100,convex_hull,0.15989148616790771,0.1746186465024948,0.028595073148608208,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,100,equally,0.16007490456104279,0.17183561623096466,0.028113121166825294,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,100,outliers,0.1599646359682083,0.16600367426872253,0.028086435049772263,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,100,worst_classes,0.15989145636558533,0.17200437188148499,0.028256120160222054,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,10,convex_hull,0.16009128093719482,0.1753583550453186,0.0318513922393322,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,10,equally,0.16002202033996582,0.16532842814922333,0.031493593007326126,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,10,outliers,0.15995152294635773,0.1618267148733139,0.03199299797415733,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,10,worst_classes,0.16003097593784332,0.15926679968833923,0.035274360328912735,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,10,convex_hull,0.15989157557487488,0.16964249312877655,0.031580835580825806,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,10,equally,0.1600271314382553,0.1599956899881363,0.036312561482191086,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,10,outliers,0.1599133312702179,0.15499278903007507,0.047744590789079666,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,10,worst_classes,0.16006051003932953,0.15654315054416656,0.04690980911254883,all
